sample_id,true_lat,true_lon,pred_lat,pred_lon,age_bp,error_km,sigma_final,alpha_precision,group,sequencing_type,locality_id,mu_knn_lat,mu_knn_lon,sigma_knn_corrected,mu_mlp_lat,mu_mlp_lon,sigma_mlp,neighbor_ids,neighbor_lats,neighbor_lons,neighbor_distances,potential_outlier,country,original_group_id,political_entity,data_type,publication,group_id,age_bin,nll,raw_sigma_knn,true_x,true_y,pred_x,pred_y,mu_knn_x,mu_knn_y,mu_mlp_x,mu_mlp_y
I14498.AG,42.36666700,18.73333300,45.12621892,3.29866868,3100.000000,1280.035218,1148.592041,0.64083058,Montenegro,1240k,Velika Gruda,,,1434.809326,,,1916.532227,,,,,false,Montenegro,Montenegro_MLBA.AG,Montenegro,1240k,LazaridisAlpaslanRoodenbergScience2022,Montenegro,2500-4000 BP,7.66727877,556.603271,5040.980566,2181.966614,3793.710282,2469.728662,3382.334061,2469.427027,4527.688500,2470.266809
I14499.AG,42.36666700,18.73333300,51.18291535,6.97540120,3300.000000,1324.357233,883.803223,0.80709398,Montenegro,1240k,Velika Gruda,,,983.769897,,,2012.253540,,,,,false,Montenegro,Montenegro_MLBA_o_1d.rel_I13168.1d.or.2d.rel.I26841_lc.AG,Montenegro,1240k,LazaridisAlpaslanRoodenbergScience2022,Montenegro,2500-4000 BP,7.90694844,164.443939,5040.980566,2181.966614,4109.583634,3123.466394,3996.074906,3289.896600,4584.489731,2427.143671
I14500.AG,42.36666700,18.73333300,45.07759379,2.58239062,3100.000000,1335.305132,1066.550537,0.69030756,Montenegro,1240k,Velika Gruda,,,1283.689941,,,1916.532227,,,,,false,Montenegro,Montenegro_MLBA.AG,Montenegro,1240k,LazaridisAlpaslanRoodenbergScience2022,Montenegro,2500-4000 BP,7.75591798,556.603271,5040.980566,2181.966614,3737.041642,2469.687097,3382.334061,2469.427027,4527.688500,2470.266809
I14501.AG,42.36666700,18.73333300,37.91499050,21.65318068,3175.000000,549.384965,953.638000,0.76271278,Montenegro,1240k,Velika Gruda,,,1091.950684,,,1957.701172,,,,,false,Montenegro,Montenegro_MLBA.AG,Montenegro,1240k,LazaridisAlpaslanRoodenbergScience2022,Montenegro,2500-4000 BP,7.02622619,37.372204,5040.980566,2181.966614,5348.741227,1726.876276,5596.684159,1501.293390,4551.777710,2451.968042
I14533_d.AG,50.78911500,0.08235100,50.24581220,5.41638581,1350.000000,382.810120,731.713806,0.77977222,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,828.623718,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.73224246,263.273071,3624.097391,3122.612289,3994.270707,3025.065866,3921.510636,3127.812616,4251.896256,2661.264917
I14534.AG,50.78911500,0.08235100,49.85538194,5.90179200,1350.000000,426.979226,878.671387,0.68242782,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,1063.648438,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.89647852,263.273071,3624.097391,3122.612289,4026.431900,2979.650049,3921.510636,3127.812616,4251.896256,2661.264917
I14535.AG,50.78911500,0.08235100,49.93661609,5.80168328,1350.000000,417.583730,850.253662,0.70263731,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,1014.338501,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval_father.I14536.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.86613829,263.273071,3624.097391,3122.612289,4019.755021,2989.078729,3921.510636,3127.812616,4251.896256,2661.264917
I14536.AG,50.78911500,0.08235100,49.91558075,5.82765010,1350.000000,420.007351,857.705811,0.69740188,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,1027.062256,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.87415782,263.273071,3624.097391,3122.612289,4021.484696,2986.636171,3921.510636,3127.812616,4251.896256,2661.264917
I14538.AG,50.78911500,0.08235100,49.90459414,5.84120016,1350.000000,421.275819,861.571533,0.69466811,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,1033.719360,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.87830005,263.273071,3624.097391,3122.612289,4022.387894,2985.360727,3921.510636,3127.812616,4251.896256,2661.264917
I14539.AG,50.78911500,0.08235100,50.06561404,5.64176220,1350.000000,402.872951,802.991333,0.73477697,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,936.770264,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval_o.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.81420299,263.273071,3624.097391,3122.612289,4009.136551,3004.073435,3921.510636,3127.812616,4251.896256,2661.264917
