sample_id,true_lat,true_lon,pred_lat,pred_lon,age_bp,error_km,sigma_final,alpha_precision,group,sequencing_type,locality_id,age_bin,split,nll,sigma_knn_corrected,raw_sigma_knn,sigma_mlp,political_entity,pulldown_strategy,data_type,publication
I4582.AG,44.51700000,22.72200000,45.09620202,16.60894670,8618.000000,487.612628,1091.273193,0.48511693,Romania_IronGates_Mesolithic.AG,1240k,"Ostrovul-Corbului (Mehedinți County, Hinova)",>6000 BP,test,7.09492849,1566.788208,866.508301,1520.824829,Romania,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I4595.AG,56.28330000,25.13330000,46.14014514,20.18189060,7637.000000,1181.673329,914.113220,0.31027555,Latvia_Mesolithic.AG,1240k,"Zvejnieki (Zemgale, Neretas District)",>6000 BP,test,7.65348991,1641.066650,739.260315,1100.682861,Latvia,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I4596.AG,56.28330000,25.13330000,46.27369767,17.26391181,7970.000000,1240.962721,1113.421509,0.26435846,Latvia_Mesolithic.AG,1240k,"Zvejnieki (Zemgale, Neretas District)",>6000 BP,test,7.63630262,2165.523926,1223.082031,1298.154785,Latvia,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I4626.AG,56.28330000,25.13330000,46.26211036,19.08427400,7677.000000,1192.782618,897.683472,0.36975756,Latvia_Mesolithic.AG,1240k,"Zvejnieki (Zemgale, Neretas District)",>6000 BP,test,7.68258465,1476.266235,597.025085,1130.757324,Latvia,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I4627.AG,56.28330000,25.13330000,48.82564829,16.43821531,6071.000000,1016.473406,1017.787659,0.35643762,Latvia_MN.AG,1240k,"Zvejnieki (Zemgale, Neretas District)",>6000 BP,test,7.42409614,1704.768433,1004.819519,1268.708496,Latvia,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I4628.AG,56.28330000,25.13330000,47.88736266,16.14530606,7033.000000,1117.384945,580.555237,0.12962490,Latvia_Mesolithic.AG,1240k,"Zvejnieki (Zemgale, Neretas District)",>6000 BP,test,8.21618777,1612.498535,627.558105,622.286438,Latvia,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I4632.AG,56.28330000,25.13330000,47.63282771,21.95345234,8316.000000,988.936196,1176.729492,0.32391259,Latvia_Mesolithic.AG,1240k,"Zvejnieki (Zemgale, Neretas District)",>6000 BP,test,7.42363942,2067.581787,1147.413696,1431.117188,Latvia,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I4895.AG,50.05041530,14.36672670,46.34668172,14.15451612,4106.000000,412.044052,1439.299072,0.45191908,Czechia_BellBeaker.AG,1240k,"Praha-Jinonice-Butovická (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,7.31288994,2141.020020,1486.045410,1944.145264,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I4896.AG,50.05041530,14.36672670,49.16957204,13.10718906,4163.000000,133.780932,1059.880371,0.70007193,Czechia_BellBeaker.AG,1240k,"Praha-Jinonice-Butovická (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.97387740,1266.734253,497.052612,1935.300049,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I4946.AG,50.05041530,14.36672670,47.34820198,12.88944344,4188.000000,319.607325,1135.424805,0.65440631,Czechia_BellBeaker.AG,1240k,"Praha-Jinonice-Butovická (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,7.07437960,1403.571777,709.027405,1931.414185,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I4950.AG,51.28987600,-1.80723400,49.34936106,12.13768144,4250.000000,1014.282635,1071.430298,0.68915641,England_BellBeaker.AG,1240k,"RFC Central Flying School (England, Wiltshire, Upavon)",4000-6000 BP,test,7.42483449,1290.639771,438.400208,1921.732666,United Kingdom,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I4144.AG,48.69100000,13.01600000,47.62458895,16.93185002,4411.000000,314.324787,1367.365234,0.47978926,Germany_BellBeaker.AG,1240k,"Osterhofen-Altenmarkt (Lower Bavaria, Deggendorf, Osterhofen)",4000-6000 BP,test,7.24706252,1974.055054,1377.499146,1895.810181,Germany,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018 (known there as I5021)
I4134.AG,48.69100000,13.01600000,47.81088900,11.01071824,4200.000000,178.268569,1191.864868,0.61845696,Germany_BellBeaker.AG,1240k,"Osterhofen-Altenmarkt (Lower Bavaria, Deggendorf, Osterhofen)",4000-6000 BP,test,7.09446024,1515.556885,801.624084,1929.546387,Germany,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018 (known there as I5022)
I5068.AG,48.66319700,16.58968700,47.74059316,16.49408070,7025.000000,102.860184,553.672668,0.20631301,Austria_EN_LBK.AG,1240k,"Kleinhadersdorf Flur Marchleiten (Niederösterreich, Mistelbach)",>6000 BP,test,6.33383039,1218.960815,88.107674,621.481812,Austria,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5069.AG,48.66319700,16.58968700,47.99433527,16.27054586,6961.000000,78.105257,573.798279,0.16075133,Austria_EN_LBK.AG,1240k,"Kleinhadersdorf Flur Marchleiten (Niederösterreich, Mistelbach)",>6000 BP,test,6.36154219,1431.139526,595.373779,626.345459,Austria,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5502.AG,53.91671700,-0.66697200,43.78415096,11.22180401,2054.000000,1421.130736,672.433594,0.65526402,England_EastYorkshire_LIA.AG,1240k,"Nunburnholme Wold (England, East Riding of Yorkshire)",1000-2500 BP,test,8.74416325,830.694275,90.702522,1145.265137,United Kingdom,Native Pulldown on 3.2M snpset,1240k,PattersonNature2021
I5503.AG,53.91671700,-0.66697200,48.15167766,8.63013230,2065.000000,913.262803,910.737793,0.36588505,England_EastYorkshire_MIA_LIA.AG,1240k,"Nunburnholme Wold (England, East Riding of Yorkshire)",1000-2500 BP,test,7.31703136,1505.639526,1091.268066,1143.692627,United Kingdom,Native Pulldown on 3.2M snpset,1240k,PattersonNature2021
I5506.AG,53.91940000,-0.76664000,48.46102647,8.45021112,2202.000000,884.049958,808.513611,0.53756338,England_EastYorkshire_MIA.AG,1240k,"Pocklington (England, East Riding of Yorkshire)",1000-2500 BP,test,7.29298793,1102.738403,462.499634,1188.943604,United Kingdom,Native Pulldown on 3.2M snpset,1240k,PattersonNature2021
I5508.AG,53.91940000,-0.76664000,50.75403612,4.32193055,2175.000000,494.007561,730.647827,0.60615057,England_EastYorkshire_MIA_LIA.AG,1240k,"Pocklington (England, East Riding of Yorkshire)",1000-2500 BP,test,6.82250251,938.464478,213.113647,1164.241211,United Kingdom,Native Pulldown on 3.2M snpset,1240k,PattersonNature2021
I5514.AG,50.05041530,14.36672670,49.54854992,12.26403120,4155.000000,161.367235,1126.085938,0.66186583,Czechia_BellBeaker.AG,1240k,"Praha-Jinonice-Butovická (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,7.03677046,1384.160767,664.578491,1936.542480,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I5685.AG,45.86736600,15.27978800,44.66421322,12.24991978,2597.000000,273.243704,878.529419,0.76410955,Slovenia_EIA.AG,1240k,Dolge njive (Smarjepke Toplice),2500-4000 BP,test,6.82661735,1005.028748,250.730606,1808.843994,Slovenia,Native Pulldown on 3.2M snpset,1240k,ArmitAntiquity2023
I5687.AG,45.86736600,15.27978800,47.75580720,15.66372572,2611.000000,211.931551,1220.301270,0.55454940,Slovenia_EIA.AG,1240k,Dolge njive (Smarjepke Toplice),2500-4000 BP,test,7.12193394,1638.690552,1133.073975,1828.383423,Slovenia,Native Pulldown on 3.2M snpset,1240k,ArmitAntiquity2023
I5770.AG,44.53427400,22.55403300,45.62507604,21.71765823,8061.000000,137.485998,979.001343,0.46385437,Serbia_EN_Starcevo.AG,1240k,"Donja Strana-Velesnica (Bor District, Kladovo Municipality, Velesnica)",>6000 BP,test,6.89639400,1437.448975,578.126465,1337.032349,Serbia,Native Pulldown on 3.2M snpset,1240k,GelabertBioRxiv2023
I5875.AG,48.91422000,33.76493000,47.52771258,16.09947343,7095.000000,1315.704394,607.567871,0.09778254,Ukraine_N.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,8.75421665,1942.961304,996.093201,639.645264,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5876.AG,48.91422000,33.76493000,46.47364382,19.07127912,8832.000000,1132.622609,1085.100830,0.52417231,Ukraine_Mesolithic.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,7.53418199,1498.763428,905.328552,1573.059937,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
